iter	Passed	Remaining
0	18	14843
1	39	15591
2	56	15121
3	83	16706
4	106	16951
5	128	16946
6	146	16606
7	169	16822
8	188	16592
9	208	16477
10	229	16448
11	247	16276
12	270	16376
13	289	16261
14	311	16306
15	331	16224
16	350	16125
17	371	16118
18	392	16122
19	420	16418
20	442	16420
21	459	16258
22	481	16279
23	501	16228
24	519	16112
25	541	16131
26	563	16120
27	587	16206
28	610	16226
29	632	16244
30	655	16264
31	680	16327
32	701	16304
33	721	16260
34	746	16325
35	770	16358
36	790	16304
37	808	16220
38	832	16240
39	856	16271
40	878	16268
41	899	16242
42	923	16252
43	941	16176
44	959	16106
45	981	16089
46	1004	16094
47	1026	16080
48	1047	16059
49	1072	16090
50	1094	16073
51	1113	16018
52	1142	16099
53	1145	15825
54	1165	15782
55	1186	15769
56	1209	15759
57	1231	15757
58	1255	15772
59	1278	15767
60	1307	15842
61	1332	15857
62	1354	15841
63	1373	15796
64	1395	15778
65	1414	15729
66	1434	15691
67	1459	15714
68	1479	15678
69	1502	15670
70	1522	15635
71	1540	15578
72	1562	15561
73	1581	15510
74	1600	15468
75	1622	15453
76	1641	15414
77	1662	15384
78	1685	15380
79	1707	15371
80	1727	15334
81	1759	15404
82	1780	15379
83	1798	15331
84	1819	15308
85	1839	15273
86	1857	15223
87	1880	15211
88	1898	15166
89	1917	15128
90	1940	15120
91	1964	15117
92	1984	15085
93	2006	15066
94	2029	15063
95	2053	15057
96	2074	15037
97	2095	15011
98	2116	14983
99	2143	15005
100	2162	14962
101	2183	14940
102	2205	14925
103	2229	14920
104	2247	14878
105	2266	14838
106	2287	14812
107	2308	14791
108	2335	14808
109	2357	14788
110	2378	14763
111	2396	14719
112	2416	14689
113	2438	14676
114	2460	14655
115	2483	14642
116	2501	14604
117	2523	14586
118	2541	14545
119	2569	14563
120	2593	14554
121	2617	14544
122	2636	14511
123	2654	14468
124	2678	14461
125	2696	14421
126	2718	14406
127	2743	14404
128	2764	14380
129	2782	14338
130	2803	14319
131	2822	14281
132	2842	14253
133	2862	14224
134	2879	14183
135	2903	14177
136	2926	14162
137	2945	14129
138	2972	14134
139	2991	14100
140	3012	14078
141	3038	14079
142	3058	14052
143	3077	14021
144	3099	14002
145	3122	13986
146	3148	13984
147	3172	13977
148	3192	13947
149	3218	13947
150	3236	13911
151	3258	13890
152	3279	13870
153	3301	13849
154	3324	13833
155	3346	13813
156	3367	13793
157	3391	13780
158	3410	13747
159	3431	13724
160	3453	13704
161	3477	13693
162	3500	13678
163	3521	13654
164	3543	13635
165	3560	13599
166	3582	13578
167	3604	13559
168	3627	13544
169	3647	13517
170	3665	13482
171	3685	13457
172	3704	13427
173	3730	13420
174	3748	13388
175	3774	13383
176	3798	13370
177	3820	13351
178	3840	13324
179	3862	13305
180	3883	13281
181	3909	13276
182	3933	13260
183	3952	13233
184	3977	13221
185	3995	13189
186	4026	13200
187	4046	13173
188	4067	13148
189	4088	13126
190	4107	13096
191	4126	13066
192	4150	13052
193	4171	13029
194	4194	13013
195	4215	12992
196	4239	12976
197	4259	12951
198	4279	12924
199	4299	12897
200	4322	12880
201	4341	12853
202	4371	12855
203	4391	12831
204	4418	12823
205	4436	12792
206	4464	12788
207	4484	12762
208	4503	12733
209	4526	12718
210	4545	12689
211	4563	12657
212	4591	12652
213	4612	12631
214	4630	12598
215	4653	12582
216	4673	12554
217	4698	12543
218	4718	12518
219	4739	12494
220	4767	12489
221	4785	12459
222	4807	12439
223	4829	12419
224	4847	12386
225	4870	12370
226	4890	12345
227	4912	12325
228	4937	12312
229	4963	12299
230	4984	12277
231	5011	12269
232	5028	12237
233	5052	12220
234	5071	12192
235	5096	12179
236	5114	12150
237	5137	12130
238	5158	12108
239	5178	12084
240	5205	12073
241	5223	12044
242	5253	12041
243	5275	12021
244	5295	11995
245	5316	11971
246	5338	11952
247	5359	11928
248	5384	11914
249	5406	11894
250	5430	11876
251	5449	11850
252	5470	11827
253	5490	11802
254	5513	11782
255	5533	11757
256	5556	11740
257	5574	11711
258	5602	11702
259	5625	11683
260	5648	11664
261	5671	11646
262	5702	11642
263	5728	11630
264	5748	11605
265	5768	11580
266	5788	11555
267	5807	11528
268	5836	11521
269	5857	11497
270	5875	11468
271	5905	11463
272	5922	11432
273	5951	11424
274	5972	11402
275	5992	11376
276	6010	11347
277	6030	11322
278	6051	11301
279	6070	11274
280	6099	11264
281	6123	11247
282	6144	11225
283	6163	11199
284	6182	11171
285	6203	11148
286	6228	11133
287	6253	11118
288	6281	11106
289	6301	11082
290	6320	11055
291	6343	11035
292	6362	11009
293	6388	10994
294	6408	10970
295	6428	10946
296	6450	10924
297	6480	10917
298	6503	10897
299	6528	10881
300	6550	10860
301	6569	10833
302	6593	10815
303	6613	10789
304	6631	10762
305	6657	10748
306	6678	10724
307	6700	10703
308	6726	10688
309	6747	10664
310	6763	10635
311	6794	10626
312	6811	10598
313	6830	10572
314	6852	10550
315	6872	10526
316	6895	10506
317	6915	10482
318	6942	10468
319	6964	10447
320	6992	10433
321	7012	10410
322	7034	10388
323	7057	10368
324	7079	10347
325	7102	10326
326	7131	10316
327	7152	10292
328	7173	10269
329	7191	10241
330	7220	10230
331	7243	10210
332	7263	10186
333	7289	10169
334	7310	10146
335	7329	10121
336	7358	10109
337	7379	10086
338	7400	10063
339	7418	10036
340	7440	10014
341	7461	9992
342	7487	9975
343	7506	9950
